stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.11755] added dtor for sub_bitmap 02792ba8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11759] added dtor for sub_bitmap 02792d30, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11763] added dtor for sub_bitmap 02792eb8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11767] added dtor for sub_bitmap 02793040, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11771] added dtor for sub_bitmap 027931c8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11775] added dtor for sub_bitmap 02793350, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11778] added dtor for sub_bitmap 027934d8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11785] added dtor for sub_bitmap 02793b20, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11790] added dtor for sub_bitmap 027942c8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11794] added dtor for sub_bitmap 02794450, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11799] added dtor for sub_bitmap 02793688, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11803] added dtor for sub_bitmap 02793810, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11809] added dtor for sub_bitmap 02793fb8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11814] added dtor for sub_bitmap 02793998, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11818] added dtor for sub_bitmap 02793e30, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11821] added dtor for sub_bitmap 02794140, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11825] added dtor for sub_bitmap 02793ca8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11830] added dtor for sub_bitmap 027949a0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11834] added dtor for sub_bitmap 027952d0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11837] added dtor for sub_bitmap 02794690, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11841] added dtor for sub_bitmap 02795768, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11845] added dtor for sub_bitmap 02796220, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11852] added dtor for sub_bitmap 027955e0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11856] added dtor for sub_bitmap 02795458, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11859] added dtor for sub_bitmap 02796098, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11863] added dtor for sub_bitmap 027963a8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11867] added dtor for sub_bitmap 02794818, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11871] added dtor for sub_bitmap 02794b28, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11875] added dtor for sub_bitmap 02795a78, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11880] added dtor for sub_bitmap 02794cb0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11883] added dtor for sub_bitmap 02795148, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11887] added dtor for sub_bitmap 027958f0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11891] added dtor for sub_bitmap 02794e38, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11895] added dtor for sub_bitmap 02794fc0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11899] added dtor for sub_bitmap 02795c00, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11902] added dtor for sub_bitmap 02795d88, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11906] added dtor for sub_bitmap 02795f10, func 72851ca6
