stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.12080] added dtor for sub_bitmap 027861e8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12084] added dtor for sub_bitmap 027864f8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12087] added dtor for sub_bitmap 02785730, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12091] added dtor for sub_bitmap 02785a40, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12095] added dtor for sub_bitmap 02786370, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12098] added dtor for sub_bitmap 027858b8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12102] added dtor for sub_bitmap 02785ed8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12106] added dtor for sub_bitmap 02786060, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12109] added dtor for sub_bitmap 02785bc8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12113] added dtor for sub_bitmap 02785d50, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12118] added dtor for sub_bitmap 02787998, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12121] added dtor for sub_bitmap 02786738, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12125] added dtor for sub_bitmap 02787fb8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12129] added dtor for sub_bitmap 02787378, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12133] added dtor for sub_bitmap 02787b20, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12137] added dtor for sub_bitmap 02787810, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12140] added dtor for sub_bitmap 02787ca8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12144] added dtor for sub_bitmap 027882c8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12148] added dtor for sub_bitmap 027868c0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12152] added dtor for sub_bitmap 02786ee0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12156] added dtor for sub_bitmap 02786a48, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12160] added dtor for sub_bitmap 02786d58, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12164] added dtor for sub_bitmap 02786bd0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12168] added dtor for sub_bitmap 02787068, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12171] added dtor for sub_bitmap 027871f0, func 72851ca6
